Name,Private,PercentAccept,Enroll,Top10perc,Top25perc,FtimeRatio,Outstate,Room.Board,PhD,S.F.Ratio,Expend,Grad.Rate
Auburn University-Main Campus,No,0.9,3070,25,57,0.9,6300,3933,85,16.7,6642,69
Augsburg College,Yes,0.77,257,12,30,0.74,11902,4372,65,12.8,7836,58
Augustana College IL,Yes,0.88,497,36,69,0.98,13353,4173,78,12.7,9220,71
Augustana College,Yes,0.95,306,21,58,0.82,10990,3244,66,10.4,6871,69
Austin College,Yes,0.84,295,42,74,0.99,11280,4342,81,13,11361,71
Averett College,Yes,0.89,172,16,40,0.59,9925,4135,59,22.4,6523,48
Baker University,Yes,0.8,206,21,47,0.67,8620,4100,58,11,6136,65
Baldwin-Wallace College,Yes,0.81,662,30,61,0.65,10995,4410,68,17.6,8086,85
Barat College,Yes,0.74,111,15,36,0.63,9690,4300,57,9.7,9337,71
Bard College,Yes,0.44,285,50,85,0.99,19264,6206,98,10.4,13894,79
Barnard College,Yes,0.56,531,53,95,0.97,17926,8124,83,10.3,12580,91
Barry University,Yes,0.79,279,18,45,0.37,11290,5360,76,12.6,9084,72
Baylor University,Yes,0.88,2367,34,66,0.95,6450,3920,71,18.5,7503,72
Beaver College,Yes,0.73,348,23,56,0.63,12850,5400,78,12.2,8954,73
Bellarmine College,Yes,0.88,308,39,63,0.66,8840,2950,74,13.1,6668,84
Belmont Abbey College,Yes,0.78,129,17,36,0.84,9000,4850,78,13.2,7550,52
Belmont University,Yes,0.8,481,28,67,0.76,7800,3664,61,11.1,7614,49
Beloit College,Yes,0.7,284,26,54,0.93,16304,3616,87,11.1,12957,69
Bemidji State University,No,0.73,546,12,36,0.82,4425,2700,57,19.6,3752,46
Benedictine College,Yes,0.98,222,14,24,0.58,9550,3850,64,14.1,5922,58
Bennington College,Yes,0.63,114,25,53,1,21700,4100,35,10.1,16364,55
Bentley College,Yes,0.67,640,20,60,0.67,13800,5510,87,17.5,10941,82
Berry College,Yes,0.66,480,37,68,0.97,8050,3940,80,16.3,10511,63
Bethany College,Yes,0.93,200,16,41,0.92,8740,3363,62,11.6,7718,48
Bethel College KS,Yes,0.91,122,19,42,0.84,8540,3580,61,8.8,8324,56
Bethel College,Yes,0.76,104,11,28,0.82,6200,2900,63,11.7,7623,35
Bethune Cookman College,Yes,0.7,542,12,30,0.96,5188,3396,48,13.8,6817,58
Birmingham-Southern College,Yes,0.73,287,67,88,0.87,11660,4325,74,14,8649,72
Blackburn College,Yes,0.67,156,25,55,0.94,6500,2700,76,14.3,8377,51
Bloomsburg Univ. of Pennsylvania,No,0.45,1025,15,55,0.86,7844,2948,66,18,7041,75
Bluefield College,Yes,0.95,181,15,30,0.84,7150,4350,61,17.8,6259,53
Bluffton College,Yes,0.74,209,20,50,0.9,9900,3990,76,13.3,9073,58
Boston University,Yes,0.64,3810,45,80,0.83,18420,6810,80,11.9,16836,72
Bowdoin College,Yes,0.3,418,76,100,0.99,19030,5885,93,11.2,20447,96
Bowling Green State University,No,0.79,3076,14,45,0.92,7452,3352,81,21.1,6918,67
Bradford College,Yes,0.74,151,5,36,0.92,14080,6270,57,10.2,15387,46
Bradley University,Yes,0.91,1061,30,58,0.88,10870,4440,75,14.4,7671,85
Brandeis University,Yes,0.66,740,48,77,0.98,19380,6750,90,9.8,17150,84
Brenau University,Yes,0.75,158,12,41,0.66,9592,5879,71,13.7,5935,49
Brewton-Parker College,Yes,0.86,1202,10,26,0.62,4371,2370,62,12.6,4900,18
Briar Cliff College,Yes,0.9,155,16,44,0.63,10260,3597,39,13.1,8355,58
Bridgewater College,Yes,0.8,292,22,53,0.94,10265,4725,68,13.2,8655,82
Brigham Young University at Provo,Yes,0.73,4615,48,82,0.96,2340,3580,76,20.5,7916,33
Brown University,Yes,0.26,1462,87,95,0.94,19528,5926,99,7.6,20440,97
Bryn Mawr College,Yes,0.55,313,71,95,0.99,18165,6750,100,12.3,17449,89
Bucknell University,Yes,0.58,862,49,85,0.99,18550,4750,95,14.2,13675,93
Buena Vista College,Yes,0.8,285,32,70,0.81,13306,3797,62,8.8,6333,78
Butler University,Yes,0.86,700,40,68,0.95,13130,4650,77,10.9,9511,83
Cabrini College,Yes,0.82,224,8,28,0.7,10518,6250,59,16.5,7117,71
Caldwell College,Yes,0.6,213,17,42,0.44,8900,4600,87,13.9,7922,55
California Lutheran University,Yes,0.44,247,23,52,0.77,12950,5300,72,12.4,8985,60
California Polytechnic-San Luis,No,0.49,1650,47,73,0.9,7380,4877,72,19.8,8453,59
California State University at Fresno,No,0.73,1483,5,60,0.91,7706,4368,90,21.2,7268,61
Calvin College,Yes,0.85,913,29,56,0.96,10230,3710,75,14.8,7786,81
Campbell University,Yes,0.64,657,20,54,0.73,7550,2790,77,21.8,3739,63
Campbellsville College,Yes,0.69,298,25,55,0.84,6060,3070,62,17.7,5391,49
Canisius College,Yes,0.77,753,16,34,0.87,10750,5340,90,14.6,7972,64
Capital University,Yes,0.79,449,34,66,0.63,13050,4000,64,12.1,9557,83
Capitol College,Yes,0.9,35,10,52,0.46,8400,2812,10,12.1,7976,52
Carleton College,Yes,0.59,489,75,93,0.99,19292,3957,81,10.4,17960,91
Carnegie Mellon University,Yes,0.6,1191,60,89,0.94,17900,5690,86,9.2,24386,74
Carroll College,Yes,0.85,352,19,55,0.65,12200,3880,74,17.8,7666,79
Carson-Newman College,Yes,0.87,464,27,62,0.88,8150,3150,61,13.6,6716,67
Carthage College,Yes,0.88,434,20,43,0.71,13125,3775,74,15.9,7364,62
Case Western Reserve University,Yes,0.81,713,71,93,0.86,15700,4730,95,2.9,19733,67
Castleton State College,No,0.75,363,9,22,0.84,7656,4690,89,14.7,6318,79
Catawba College,Yes,0.81,291,13,34,0.92,9270,4100,75,13.5,8425,55
Catholic University of America,Yes,0.84,505,24,49,0.91,13712,6408,90,9.3,12751,75
Cazenovia College,Yes,0.89,527,9,35,0.99,9384,4840,22,14.3,7697,118
Cedar Crest College,Yes,0.78,198,25,58,0.51,14340,5285,58,11.7,10961,74
Cedarville College,Yes,0.83,616,25,55,0.96,7344,4410,50,15.3,6897,64
Centenary College,Yes,0.85,90,12,46,0.43,11400,5400,41,9.5,9583,24
Centenary College of Louisiana,Yes,0.88,210,35,55,0.95,8950,3490,86,11.3,9685,66
Center for Creative Studies,Yes,0.66,203,1,20,0.62,11230,6643,8,6.8,13025,47
Central College,Yes,0.87,401,31,65,0.97,10938,3660,76,13.5,8444,67
Central Connecticut State University,No,0.61,902,6,24,0.62,5962,4444,69,16.7,4900,49
Central Missouri State University,No,0.88,1436,10,35,0.84,4620,3288,69,19.7,5501,50
Central Washington University,No,0.72,1007,8,65,0.88,7242,3603,67,18.1,6413,51
Central Wesleyan College,Yes,0.84,88,8,29,0.97,8300,3080,62,15.2,3365,58
Centre College,Yes,0.88,288,55,82,0.99,11850,4270,95,11.4,13118,74
Chapman University,Yes,0.8,351,23,48,0.89,16624,5895,72,12.8,12692,47
Chatham College,Yes,0.93,91,28,56,0.76,13500,5230,95,9.3,16095,52
Chestnut Hill College,Yes,0.74,126,25,64,0.69,10335,5015,71,8.3,7729,73
Christendom College,Yes,0.89,51,33,71,0.98,8730,3600,92,9.3,10922,58
Christian Brothers University,Yes,0.59,224,16,42,0.75,9300,3260,81,11.1,8129,63
Christopher Newport University,No,0.87,428,3,37,0.62,7860,4750,80,21.2,4639,48
Claflin College,Yes,0.58,499,21,47,0.99,4412,2460,69,16.9,7083,21
Claremont McKenna College,Yes,0.41,227,71,93,1,17000,6010,99,9.6,18443,87
Clark University,Yes,0.71,457,30,61,0.87,17500,4200,94,10.5,11951,79
Clarke College,Yes,0.74,167,14,45,0.63,10740,3676,67,11,7963,74
Clarkson University,Yes,0.9,557,35,68,0.98,15960,5580,95,15.8,11659,77
Clemson University,No,0.65,2301,37,65,0.94,8116,3610,82,18,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,No,0.81,250,15,30,0.73,7168,3689,67,18.1,4417,46
Coe College,Yes,0.74,275,29,60,0.85,13925,4390,73,12.7,10141,67
Coker College,Yes,0.75,295,15,47,0.76,9888,4502,64,12.1,8741,75
Colby College,Yes,0.46,456,58,84,0.98,18930,5590,83,10.2,15954,91
Colgate University,Yes,0.51,727,46,75,0.99,19510,5565,95,10.5,15494,93
College Misericordia,Yes,0.62,317,29,58,0.69,10860,5760,56,12.9,8604,96
College of Charleston,No,0.66,1265,22,55,0.85,6120,3460,73,17.2,4776,51
College of Mount St. Joseph,Yes,0.78,238,14,41,0.49,9800,4430,46,11.1,6889,100
College of Mount St. Vincent,Yes,0.68,177,23,46,0.62,11790,5770,75,11.9,10015,83
College of Notre Dame,Yes,0.77,97,11,42,0.6,12600,5520,77,10.4,9773,43
College of Notre Dame of Maryland,Yes,0.78,177,35,61,0.25,11180,5620,64,11.5,7477,75
College of Saint Benedict,Yes,0.92,511,29,62,0.94,12247,4221,70,13.1,8847,72
College of Saint Catherine,Yes,0.8,186,23,51,0.75,12224,4440,63,11.5,7315,77
College of Saint Elizabeth,Yes,0.81,122,34,53,0.34,10900,5250,68,11.4,9447,78
College of Saint Rose,Yes,0.68,249,23,57,0.66,9990,5666,66,14.3,6084,64
College of Santa Fe,Yes,0.82,189,16,42,0.56,11138,4138,40,14,8820,80
College of St. Joseph,Yes,0.84,55,12,21,0.54,8300,4850,53,9.5,6936,76
College of St. Scholastica,Yes,0.89,278,29,60,0.83,11844,3696,54,11.6,8996,72
College of the Holy Cross,Yes,0.56,659,70,95,0.99,18000,6300,92,11.3,12138,95
College of William and Mary,No,0.44,1217,68,88,0.97,11720,4298,89,12.1,9534,93
College of Wooster,Yes,0.9,553,29,65,1,16240,4690,84,11.1,14140,69
Colorado College,Yes,0.49,490,56,87,1,17142,4190,85,11.3,14664,84
Colorado State University,No,0.67,2194,29,65,0.9,8412,4180,87,19.2,7850,59
Columbia College MO,Yes,0.5,132,10,28,0.11,8294,3700,87,15.3,5015,37
Columbia College,Yes,0.83,242,21,67,0.8,10425,3975,61,14.7,8693,76
Columbia University,Yes,0.29,871,78,96,0.98,18624,6664,97,5.9,30639,99
Concordia College at St. Paul,Yes,0.95,139,13,29,0.85,10500,3750,69,12.8,6955,45
Concordia Lutheran College,Yes,0.93,106,16,34,0.76,6900,3800,67,12.1,6875,42
Concordia University CA,Yes,0.72,144,30,75,0.86,10800,4440,55,13.1,8415,55
Concordia University,Yes,0.76,186,22,56,0.89,9216,4191,56,12.1,7309,75
Connecticut College,Yes,0.51,438,42,93,0.88,18740,6300,86,10.7,14773,91
Converse College,Yes,0.93,149,35,70,0.89,12050,3700,63,10.2,10965,75
Cornell College,Yes,0.86,383,33,68,0.99,15248,4323,71,12.2,10340,64
Creighton University,Yes,0.96,876,30,60,0.84,10628,4372,85,6.5,22906,85
Culver-Stockton College,Yes,0.7,274,24,55,0.9,8000,3700,51,14.1,5807,51
Cumberland College,Yes,0.79,398,26,47,0.91,6230,3526,42,13,8189,63
D'Youville College,Yes,0.71,157,18,47,0.76,8920,4310,68,14.6,6898,46
Dana College,Yes,0.96,185,10,36,0.87,9130,3322,46,12.6,8686,54
Daniel Webster College,Yes,0.87,153,12,30,0.46,12292,4934,61,22.2,8643,72
Dartmouth College,Yes,0.26,1087,87,99,0.99,19545,6070,95,4.7,29619,98
Davidson College,Yes,0.4,452,77,96,1,17295,5070,95,12,17581,94
Defiance College,Yes,0.81,174,10,26,0.7,10850,3670,58,12.8,7505,56
Delta State University,No,0.98,459,15,48,0.84,4528,1880,49,17.1,5113,58
Denison University,Yes,0.83,533,32,60,0.99,16900,4720,88,11.6,12423,81
DePauw University,Yes,0.83,495,50,80,0.98,14300,5020,78,11.1,11525,82
Dickinson College,Yes,0.84,487,31,68,0.97,18700,5000,87,11.2,13861,87
Dickinson State University,No,0.95,319,10,30,0.85,4486,2146,50,16.5,4525,46
Dillard University,Yes,0.69,651,41,88,0.97,6700,3650,52,14.1,7566,61
Doane College,Yes,0.89,244,20,47,0.71,9570,3000,67,15.1,6852,60
Dominican College of Blauvelt,Yes,0.91,108,4,19,0.47,8310,5500,43,12.7,5480,54
Dordt College,Yes,0.93,328,25,50,0.95,9800,2650,61,12.5,7325,87
Dowling College,Yes,0.82,410,9,33,0.3,9000,3100,77,12.4,11178,42
Drake University,Yes,0.92,839,34,65,0.82,13420,4770,88,15,9473,77
Drew University,Yes,0.73,321,56,84,0.93,18432,5616,93,10.2,14907,83
Drury College,Yes,0.93,314,33,66,0.96,8730,3523,82,13.2,9303,67
Duke University,Yes,0.28,1583,90,98,0.99,18590,5950,95,5,27206,97
Earlham College,Yes,0.74,274,35,63,0.99,15036,4056,90,10.6,14634,78
East Carolina University,No,0.69,2435,14,44,0.89,7248,3240,74,13.2,9002,58
East Tennessee State University,No,0.82,1303,15,36,0.72,5800,3000,73,14,9825,42
East Texas Baptist University,Yes,0.9,265,10,36,0.87,4950,2780,62,15.7,5619,38
Eastern College,Yes,0.81,165,16,42,0.75,11190,4800,60,13.6,8135,54
Eastern Connecticut State University,No,0.69,564,14,50,0.64,5962,4316,71,16.9,5719,50
Eastern Illinois University,No,0.76,1565,12,38,0.92,5710,3066,62,16.2,5682,76
Eastern Mennonite College,Yes,0.91,227,19,48,0.94,9650,3800,46,11.4,10188,82
Eastern Nazarene College,Yes,0.79,200,17,40,0.98,8770,3500,58,17.3,6430,70
Eckerd College,Yes,0.78,366,33,65,0.98,15360,4080,82,12.8,15003,59
Elizabethtown College,Yes,0.76,426,36,70,0.83,14190,4400,65,12.8,9815,81
Elmira College,Yes,0.72,345,27,50,0.69,14990,4980,77,21.5,7502,64
Elms College,Yes,0.85,125,23,46,0.56,11800,4765,71,11.3,8952,86
Elon College,Yes,0.77,858,11,39,0.9,9100,3883,70,18.9,6329,63
Embry Riddle Aeronautical University,Yes,0.82,958,14,40,0.85,7800,3750,37,16.5,12878,44
Emory & Henry College,Yes,0.84,226,30,60,0.96,8578,4408,79,13.9,8061,82
Emory University,Yes,0.49,1236,76,97,0.97,17600,6000,97,5,28457,96
Emporia State University,No,1,853,43,79,0.87,5401,3144,72,19.3,5527,50
Erskine College,Yes,0.85,167,47,74,0.94,10485,3840,76,13.5,7527,67
Eureka College,Yes,0.81,113,36,56,0.97,10955,3450,62,10.6,9552,53
Evergreen State College,No,0.61,438,14,50,0.89,6297,4600,75,18.1,8355,68
Fairfield University,Yes,0.7,781,30,66,0.74,15000,6200,86,15.1,11220,94
Fayetteville State University,No,0.73,452,1,16,0.81,6806,2550,75,15.1,6972,24
Ferrum College,Yes,0.83,336,12,36,0.93,9400,4200,53,12.5,7967,22
Flagler College,Yes,0.5,338,18,52,0.97,5120,3200,52,18.1,3930,69
Florida Institute of Technology,Yes,0.81,523,39,74,0.89,13900,4140,90,10.6,8923,57
Florida International University,No,0.63,1071,42,89,0.52,6597,2494,81,13.9,6722,66
Florida Southern College,Yes,0.75,374,20,44,0.61,8025,4865,65,17.4,6339,68
Florida State University,No,0.75,3023,50,90,0.85,6680,4060,80,23.1,7250,58
Fontbonne College,Yes,0.84,126,16,49,0.74,8390,4100,45,21.5,4607,62
Fordham University,Yes,0.68,942,30,55,0.74,14235,6965,86,14.4,10864,80
Fort Lewis College,No,0.82,1123,16,35,0.89,6198,3320,89,19.1,4362,46
Francis Marion University,No,0.92,819,13,38,0.88,5840,3138,76,19.1,5039,43
Franciscan University of Steubenville,Yes,0.82,228,22,49,0.84,9650,4400,57,14.9,6336,83
Franklin College,Yes,0.79,281,29,72,0.93,10390,4040,54,12.5,11751,60
Franklin Pierce College,Yes,0.86,446,3,14,0.6,13320,4630,50,17.6,6418,51
Freed-Hardeman University,Yes,0.61,314,20,54,0.96,5500,3340,68,16.1,6078,62
Fresno Pacific College,Yes,0.79,146,51,87,0.92,9900,3670,59,10.5,8095,54
Furman University,Yes,0.9,685,56,82,0.93,13440,4048,92,13.5,12940,82
Gannon University,Yes,0.77,678,24,57,0.8,10970,4280,47,13.3,7711,65
Gardner Webb University,Yes,0.84,332,18,36,0.81,8180,4270,65,15.2,5664,29
Geneva College,Yes,0.8,237,19,39,0.84,9476,4820,67,20.1,6786,74
George Fox College,Yes,0.9,294,27,52,0.97,12500,4130,53,13.5,7136,52
George Mason University,No,0.77,1727,17,29,0.71,10800,4840,93,19.3,6751,46
George Washington University,Yes,0.64,1492,38,71,0.79,17450,6328,92,7.6,14745,72
Georgetown College,Yes,0.95,286,30,55,0.96,8100,3950,73,13.3,7508,55
Georgetown University,Yes,0.26,1390,71,93,0.94,18300,7131,91,7.2,19635,95
Georgia Institute of Technology,No,0.58,2276,89,99,0.93,6489,4438,92,19.3,11271,70
Georgia State University,No,0.62,1238,9,24,0.46,6744,2655,87,19,7762,34
Georgian Court College,Yes,0.81,127,12,52,0.58,9150,3950,56,12.2,7348,76
Gettysburg College,Yes,0.69,575,42,78,0.98,19964,4328,94,12.1,14720,83
Goldey Beacom College,Yes,0.74,284,10,27,0.46,6120,2985,25,27.6,6081,36
Gonzaga University,Yes,0.81,526,31,67,0.89,13000,4450,78,14.7,9553,69
Gordon College,Yes,0.84,282,25,54,0.97,12200,4070,73,14.2,9226,66
Goshen College,Yes,0.9,221,26,51,0.85,9420,3730,51,9.9,10270,72
Goucher College,Yes,0.71,248,40,64,0.91,15588,6174,78,9.2,16623,77
Grace College and Seminary,Yes,0.78,167,18,46,0.85,8958,3670,53,15.3,9798,64
Graceland College,Yes,0.75,242,14,41,0.3,9100,3100,51,23.6,5609,47
Grand Valley State University,No,0.75,1561,20,60,0.76,6108,3800,64,20.6,5063,57
Green Mountain College,Yes,0.81,198,7,20,0.93,11750,2700,77,14,6475,76
Greensboro College,Yes,0.81,176,10,31,0.67,8330,3770,64,13,7949,39
Greenville College,Yes,0.76,194,20,46,0.94,10310,4530,57,14.3,8222,60
Grinnell College,Yes,0.68,432,56,91,0.98,15688,4618,88,9.5,18979,83
Grove City College,Yes,0.45,573,57,88,0.98,5224,3048,65,18.4,4957,100
Guilford College,Yes,0.88,326,18,44,0.83,13404,5160,78,15.6,9114,65
Gustavus Adolphus College,Yes,0.81,634,36,72,0.98,14125,3600,79,12.5,9907,80
Gwynedd Mercy College,Yes,0.62,104,30,56,0.39,11000,5550,36,7.8,7483,96
Hamilton College,Yes,0.57,454,40,82,0.99,19700,5050,91,9.6,17761,91
Hamline University,Yes,0.82,328,34,73,0.93,13252,4194,89,13,10296,65
Hampden - Sydney College,Yes,0.79,307,20,40,1,13218,4773,95,13.3,12263,69
Hampton University,Yes,0.52,1433,25,63,0.86,7161,3518,60,14,6791,70
Hanover College,Yes,0.83,317,33,65,0.99,8200,3485,84,10.6,9248,64
Hardin-Simmons University,Yes,0.91,350,16,40,0.8,6300,2980,75,13.7,7054,38
Harding University,Yes,0.62,806,35,75,0.94,5504,3528,71,17.7,6466,73
Hartwick College,Yes,0.83,430,22,49,0.96,17480,4780,75,12.3,11625,73
Harvard University,Yes,0.16,1606,90,100,0.96,18485,6410,97,9.9,37219,100
Harvey Mudd College,Yes,0.42,178,95,100,0.99,17230,6690,100,8.2,21569,100
Hastings College,Yes,0.87,262,22,52,0.96,9376,3272,57,13,7335,52
Hendrix College,Yes,0.88,274,52,87,0.99,8800,3195,82,13.1,8588,63
Hillsdale College,Yes,0.81,347,35,66,0.96,11090,4700,80,12,12639,79
Hiram College,Yes,0.79,244,37,66,0.78,14067,4560,75,10.6,12165,79
Hobart and William Smith Colleges,Yes,0.77,500,25,53,1,19029,5841,99,12.1,13040,79
Hofstra University,Yes,0.79,1349,25,63,0.83,11600,5920,81,13.9,10093,60
Hollins College,Yes,0.83,215,26,58,0.91,13470,5515,78,11.1,13957,72
Hood College,Yes,0.81,176,36,64,0.64,13960,6040,82,14.4,12434,72
Hope College,Yes,0.87,624,37,69,0.92,12275,4341,72,12.5,9284,72
Houghton College,Yes,0.83,302,30,70,0.98,9990,3550,85,15,8187,67
Huntingdon College,Yes,0.86,127,26,47,0.81,8080,3920,63,11.4,7703,44
Huntington College,Yes,0.96,125,20,46,0.92,9950,3920,76,11.8,9466,47
Huron University,Yes,0.33,124,3,9,0.85,7260,3090,31,12.9,9249,21
Husson College,Yes,0.9,361,10,30,0.57,7800,4000,36,22,4923,84
Illinois Benedictine College,Yes,0.92,269,22,47,0.7,10500,4348,81,11.6,8324,75
Illinois College,Yes,0.88,262,28,63,0.97,8050,3850,75,15.6,7348,52
Illinois Institute of Technology,Yes,0.77,478,42,77,0.75,14550,4620,80,12.3,12851,56
Illinois State University,No,0.77,2408,10,35,0.9,7799,3403,77,21,5569,54
Illinois Wesleyan University,Yes,0.44,471,55,86,0.99,14360,4090,77,12.9,9605,83
Immaculata College,Yes,0.94,103,16,44,0.27,10000,5364,56,11.2,7305,69
Incarnate Word College,Yes,0.8,386,16,49,0.75,8840,4689,67,11.4,6095,95
Indiana State University,No,0.84,3147,10,31,0.82,6892,3706,72,16.6,6996,40
Indiana University at Bloomington,No,0.8,5873,25,72,0.9,9766,3990,77,21.3,8686,68
Indiana Wesleyan University,Yes,0.58,366,20,48,0.78,9210,3782,49,39.8,6562,34
Iona College,Yes,0.72,913,13,33,0.73,10690,6790,66,16,8107,66
Iowa State University,No,0.88,3441,26,59,0.92,7550,3224,81,19.2,8420,65
Ithaca College,Yes,0.76,1368,23,52,0.97,14424,6192,58,11.5,9812,75
James Madison University,No,0.47,2082,32,72,0.93,7994,4544,77,17.9,5212,98
Jamestown College,Yes,0.87,262,14,41,0.99,7620,3050,51,17,3186,54
Jersey City State College,No,0.48,691,10,30,0.73,3946,4800,63,14.9,8367,26
John Brown University,Yes,0.67,284,24,53,0.91,6398,3672,68,13.3,8118,75
John Carroll University,Yes,0.87,820,27,57,0.89,11700,5550,89,14.5,7738,89
Johns Hopkins University,Yes,0.41,911,75,94,0.69,18800,6740,96,3.3,56233,90
Johnson State College,No,0.8,279,3,13,0.78,7656,4690,80,14.4,6564,36
Judson College,Yes,0.73,137,10,30,0.89,9414,4554,34,10.6,7840,56
Juniata College,Yes,0.85,298,36,55,0.96,14850,4460,97,12.7,12067,80
Kansas State University,No,0.69,2833,25,55,0.87,6995,3120,76,18.5,6122,54
Kansas Wesleyan University,Yes,0.98,148,16,40,0.65,8400,3250,63,12.4,6535,68
Keene State College,No,0.78,822,5,19,0.82,7870,4157,73,16.1,6195,61
Kentucky Wesleyan College,Yes,0.85,175,20,49,0.85,8000,4150,57,11.3,7058,62
Kenyon College,Yes,0.7,408,44,75,1,19240,3690,95,11.1,14067,88
Keuka College,Yes,0.83,174,10,43,0.93,9600,4550,55,13.3,7863,51
King's College,Yes,0.72,381,20,45,0.48,10910,5160,66,15.6,7649,87
King College,Yes,0.85,142,34,65,0.92,8664,3350,65,10.7,8954,65
Knox College,Yes,0.81,286,48,77,0.98,15747,4062,88,12.7,13224,79
La Roche College,Yes,0.89,185,10,41,0.44,8842,4782,57,14.2,7022,52
La Salle University,Yes,0.63,622,20,56,0.62,12600,5610,90,15.1,9084,84
Lafayette College,Yes,0.6,572,36,59,0.9,18730,5740,93,10.5,15365,92
LaGrange College,Yes,0.73,177,15,35,0.62,6987,3585,77,12.5,9067,75
Lake Forest College,Yes,0.65,271,31,70,0.98,16880,3970,91,10.7,15687,77
Lakeland College,Yes,0.91,231,24,47,0.31,9400,4005,49,17.2,4054,57
Lamar University,No,0.74,1043,10,27,0.57,4752,3040,48,18.4,5879,26
Lambuth University,Yes,0.65,224,15,35,0.72,5170,3430,61,16.1,5531,60
Lander University,No,0.87,510,9,33,0.86,4938,2987,67,17,6119,51
Lawrence University,Yes,0.76,324,50,77,0.94,17163,3891,76,10.1,13965,77
Le Moyne College,Yes,0.82,425,21,76,0.77,11040,4840,89,13.3,8118,94
Lebanon Valley College,Yes,0.76,320,28,56,0.66,13850,4755,84,12.3,8196,85
Lehigh University,Yes,0.67,1092,40,84,0.97,18700,5580,96,12.5,14665,91
Lenoir-Rhyne College,Yes,0.76,259,25,46,0.88,10100,4000,88,12,8539,66
Lesley College,Yes,0.81,82,12,33,0.77,11700,5300,71,27.8,8694,58
LeTourneau University,Yes,0.87,204,29,54,0.95,8840,4240,58,20.8,6863,56
Lewis and Clark College,Yes,0.75,482,35,64,0.97,15800,4790,97,12.3,12999,69
Lewis University,Yes,0.91,395,12,31,0.61,10560,4520,36,14.3,7701,61
Lincoln Memorial University,Yes,0.71,363,21,55,0.6,5950,2890,67,14.6,5177,53
Lincoln University,No,0.66,326,15,41,0.97,4818,3400,71,12.6,10912,45
Lindenwood College,Yes,0.6,356,6,33,0.92,9200,4800,65,24.1,3480,100
Linfield College,Yes,0.76,458,48,72,0.65,13380,4210,89,17.8,8747,81
Livingstone College,Yes,0.53,217,22,47,0.98,4400,3400,53,10.4,9268,92
Lock Haven University of Pennsylvania,No,0.62,651,17,41,0.91,7352,3620,47,16.1,6374,63
Longwood College,No,0.68,724,12,47,0.96,7920,3962,74,18.4,5553,62
Loras College,Yes,0.78,527,20,39,0.91,11200,4000,61,14.2,7578,70
Louisiana College,Yes,0.52,212,33,61,0.85,5150,3036,64,10.5,7547,59
Louisiana State University at Baton Rouge,No,0.83,3079,29,57,0.81,5925,2980,83,15.9,6741,37
Louisiana Tech University,No,0.89,1525,22,45,0.79,3957,2325,66,20,4546,45
Loyola College,Yes,0.77,738,25,54,0.94,12990,6300,86,14.7,9448,80
